Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
WA Analog Rptrs,Lyman 145.190,25K,Turbo,145.19,144.59,Off,127.3,Off
WA Analog Rptrs,RtlSnake 145.110,25K,Turbo,145.11,144.51,Off,127.3,Off
WA Analog Rptrs,SeaCol 444.550,25K,Turbo,444.55,449.55,141.3,141.3,Off
WA Analog Rptrs,TgrMtE 146.820,25K,Turbo,146.82,146.22,Off,103.5,Off
WA Analog Rptrs,TgrMtW 145.330,25K,Turbo,145.33,144.73,Off,179.9,Off
WA Analog Rptrs,AplCty 146.680,25K,Turbo,146.68,146.08,Off,156.7,Off
WA Analog Rptrs,MsnRdg 146.900,25K,Turbo,146.9,146.3,173.8,173.8,Off
WA Analog Rptrs,GoldMt 441.200,25K,Turbo,441.2,446.2,Off,123,Off
WA Analog Rptrs,Baldi 146.980,25K,Turbo,146.98,146.38,Off,131.8,Off
WA Analog Rptrs,GrassMt 145.370,25K,Turbo,145.37,144.77,Off,136.5,Off
WA Analog Rptrs,PtDefi 145.210,25K,Turbo,145.21,144.6,Off,141.3,Off
WA Analog Rptrs,Buckly 147.300,25K,Turbo,147.3,147.9,Off,88.5,Off
WA Analog Rptrs,CapPk 145.470,25K,Turbo,145.47,144.87,Off,100,Off
WA Analog Rptrs,OARS 147.360,25K,Turbo,147.36,147.96,Off,103.5,Off
WA Analog Rptrs,OARS 441.400,25K,Turbo,441.4,446.4,Off,103.5,Off
WA Analog Rptrs,StPete 440.550,25K,Turbo,440.55,445.55,103.5,103.5,Off
WA Analog Rptrs,LcyEOC 146.800,25K,Turbo,146.8,146.2,Off,97.4,Off
WA Analog Rptrs,MtCrwfrd 147380,25K,Turbo,147.38,147.98,Off,103.5,Off
WA Analog Rptrs,Yelm 440.200,25K,Turbo,440.2,445.2,Off,100,Off
WA Analog Rptrs,BawFaw 147.060,25K,Turbo,147.06,147.66,Off,110.9,Off
WA Analog Rptrs,Etnville 146.700,25K,Turbo,146.7,146.1,Off,103.5,Off
WA Analog Rptrs,Paradise 146.780,25K,Turbo,146.78,146.18,Off,103.5,Off
WA Analog Rptrs,Cntralia 145.490,25K,Turbo,145.49,144.89,Off,110.9,Off
WA Analog Rptrs,Cntralia 442.050,25K,Turbo,442.05,447.05,Off,103.5,Off
WA Analog Rptrs,KOPeak 441.300,25K,Turbo,441.3,446.3,Off,127.3,Off
WA Analog Rptrs,Nicolai 146.760,25K,Turbo,146.76,146.16,Off,118.8,Off
WA Analog Rptrs,Wikiup 442.500,25K,Turbo,442.5,447.5,Off,118.8,Off
WA Analog Rptrs,Megler 145.450,25K,Turbo,145.45,144.85,Off,118.8,Off
WA Analog Rptrs,Packw 146.740,25K,Turbo,146.74,146.14,Off,131.8,Off
